Serial Number,Title,Organisation,Closing Date,Link
59,[PR FOR D K INSTRUMENTS PVT LTD MAKE SWITCHES FOR NTPC KHARGONE],NTPC Limited||Corporate Centre||USSC||CPG-3,12-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sd3iS5ka%2BJY1DFSoJOGoo%2BA%3D%3D
60,[Painting of Residential and Public Building in Township including Urja],NTPC Limited||Corporate Centre||USSC||CPG-1,18-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=So4XA9XNPqJE%2Bbx3sLVtQnw%3D%3D
61,[PR for the procurement of ACC Fan Gear box spare parts for TMD NKSTPP],NTPC Limited||Corporate Centre||USSC||CPG-3,24-Sep-2025 11:00 AM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SmzVIwYumRhxkqulEhjY7AA%3D%3D
62,[Biennial Civil maintenance contract(Part-A) for plant for the year],NTPC Limited||Corporate Centre||USSC||CPG-1,24-Sep-2025 01:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SnUBN9%2F5JPmWBsWn7Ozqulw%3D%3D
63,[Procurement of Viper Mill Lube oil tank Level switches for DSI Area at],NTPC Limited||Corporate Centre||USSC||CPG-3,16-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S93rkAU0VR9uwJZknRAOjJw%3D%3D
64,[Procurement of degasser blower for stg 2 DM Plant NTPC Simhadri.],NTPC Limited||Corporate Centre||USSC||CPG-3,12-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SCwecYjwUD0jXZWqE7Odz0g%3D%3D
65,"[Procurement of TAC, IAC Elements for DATS System of AHD Kaniha]",NTPC Limited||Corporate Centre||USSC||CPG-3,12-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S0iSETCByd2Pj9AwuleUlCw%3D%3D
66,[Preparation of Cricket Turf Pitch at NTPC Darlipali Township Stadium],NTPC Limited||Corporate Centre||USSC||CPG-2,18-Sep-2025 11:00 AM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SLiJ7R9TZ41TTIW%2B5ZZJVTg%3D%3D
67,[Proposal for Procurement of Spares for Pump Installed at CSSP (Pit-3)],NTPC Limited||Corporate Centre||USSC||CPG-3,13-Sep-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S4SYYc%2FXiDXC9p8XnnR4n%2BQ%3D%3D
68,[Procurement of Hydraulic Oil for HP/LP Bypass System of NTPC Sipat],NTPC Limited||Corporate Centre||USSC||CPG-3,18-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SjndGg9%2FVjKC9qKWkBYDDTw%3D%3D
