PageNumber,Error
222,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=222"" already visited"
241,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=241"" already visited"
242,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=242"" already visited"
243,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=243"" already visited"
244,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=244"" already visited"
245,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=245"" already visited"
248,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=248"" already visited"
249,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=249"" already visited"
250,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=250"" already visited"
251,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=251"" already visited"
252,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=252"" already visited"
253,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=253"" already visited"
255,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=255"" already visited"
258,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=258"" already visited"
