S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
3,2024_DJB_266963_1,1,NIT No.49/1/EE(T)M-7(2024-25),Delhi Jal Board||Delhi Jal Board||EE (T) M-7,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=STTbLf%2BU1of7VLsPFOmFCVw%3D%3D
4,2024_DJB_266870_1,1,NIT No.48/3/EE(T)M-7(2024-25)Press Notice Tender,Delhi Jal Board||Delhi Jal Board||EE (T) M-7,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SWLaEpgqREoUuiHz%2FhzRMVg%3D%3D
5,2024_DJB_266869_1,1,NIT No.48/2/EE(T)M-7(2024-25)Press Notice Tender,Delhi Jal Board||Delhi Jal Board||EE (T) M-7,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SUM6EBjXO66%2BiBvNV0XK37A%3D%3D
6,2024_DJB_266655_1,1,NIT No.47/5/EE(T)M-7(2024-25),Delhi Jal Board||Delhi Jal Board||EE (T) M-7,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sp0S0ouAsIwBJTgk5r32w%2FQ%3D%3D
7,2024_DJB_266650_1,1,NIT No.47/3/EE(T)M-7(2024-25),Delhi Jal Board||Delhi Jal Board||EE (T) M-7,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SP%2FQFqatDXiduIlG25npBlA%3D%3D
8,2024_DJB_266649_1,1,NIT No.47/2/EE(T)M-7(2024-25),Delhi Jal Board||Delhi Jal Board||EE (T) M-7,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SmqWlpuiJJaRAGPrnWDAX7Q%3D%3D
1,2025_PWD_269834_1,1,"A/R and M/O various roads under SRD Project Divison-2 during 2024-25.  SH Chainage Marking on various roads under Sub Dinv.-1, 2 and 3.",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SMrBxVkNJThnz4ZSQ9wctyA%3D%3D
2,2025_PWD_269443_1,1,"Restoration of DB Gupta Road and Ganga Mandir marg road cut by Tata Power Limited ID 202412051154190 and ID 202412041710046  under jurisdiction of Sub Division-3, SRD Project Division-2, PWD New Delhi during 2024.25.",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPG%2B3LVk6VTaTzTCtYyAeTQ%3D%3D
3,2025_PWD_269413_1,1,"Comprehensive maintenance of roads under PWD SRD Project Division-2 during 2025-26 and 2026-27 SH Patch repair work under sub division -1, 2 and 3.",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sl17BnBzuhqde9q%2FDOYp%2Big%3D%3D
4,2025_PWD_268565_1,1,"A/R and M/O to various road under Sub Division-3 ,S
